dataset_row_number,record_id,document_name,record_type,court_family,judgment_number,actions,substantive_action_count,old_record_sha256,new_record_sha256,hash_refreshed
270,zimlex-2022-5f16f79cae22281350b9,S v Murira (736 of 2022) [2022] ZWHHC 736 (21 October 2022) Copy.docx,law_report_draft,High Court,HH 736-22,,0,f5bfca013a3bf29d7d2392364ffded514dba63acca128b96649e340deebeaa21,b0ba5514c2d10ec53b649fabbc1125c93dd52236a59ca92faf6490b3cf8ebe07,True
271,zimlex-2022-9fd4ccea824b2d722709,Freda Rebecca Gold Mine v Jack (737 of 2022) [2022] ZWHHC 737 (21 October 2022) Copy(1).docx,law_report_draft,High Court,HH 737-22,,0,ce2eaf266701d73b300a882f81a882b684e1cfb723cac7f63b414eca216c9100,d228e793c99a696026565b6494341481facac75409ff3bbde5d299cb2c04aa66,True
272,zimlex-2022-1fe21cec193486288fd6,Arifor Private Limited v Puroil (Private) Limited and 2 Others (739 of 2022) [2022] ZWHHC 739 (21 October 2022) Copy.docx,law_report_draft,High Court,HH 739/22,,0,a7f8e328f0ac19acf490367ab77d20a69a8d17b4172af6e240c60144d8b55eba,c2cf43848ffffcdc0f7da47350bfc877174915fc5f3984f367bfaa0adf4d0f53,True
273,zimlex-2022-00663f3e0f9da8bbe9ee,Coumbis v Theright Investments (Pvt) Ltd and 3 Others (740 of 2022) [2022] ZWHHC 740 (21 October 2022) Copy.docx,law_report_draft,High Court,HH 740-22,,0,a985a0e2bb5eb6dcfc3291affbd88d1d9d33dd2020d143745baddce4162417fb,3ff76c5cc614049ee0a4e3b62e07266e15ae9771ebe9e20def89c3bc98142f27,True
274,zimlex-2022-4a4e0d20fe3205a5a08e,Matukutire v Madenga and Another (741 of 2022) [2022] ZWHHC 741 (26 October 2022) Copy.docx,law_report_draft,High Court,HH 741-22,,0,bf9292680c62a96799eff50adff3262c1d2c2b020bee7a57be7d427f08d601b8,7c4c8fbf82839e1230443168544b9dc12a6a98a4bd69f80af35d25838042f15e,True
275,zimlex-2022-854340cefad660e7b3f3,CHINAN~1(2).DOC,law_report_draft,High Court,HH 743-22,,0,4c235da6564de117fc45dd5211edb21c7456277fdf18a113367f6fde3a81bc6d,e2121e04fba32c7e3c3fe3a7aefbdb13c161269c7b3bba5ec4e666293f8fe6e1,True
276,zimlex-2022-dba23e359121cc8c8d73,Matingo v Humbe (744 of 2022) [2022] ZWHHC 744 (26 October 2022) Copy.docx,law_report_draft,High Court,HH 744-22,,0,9a5777c25b188284b01d5cf8b3f0597043b017b98024be12d0227f5b56beefc8,da473fa6739c833fe4a6c00097221392e73ce06bdee9acf630fa853cfe3590ce,True
277,zimlex-2022-5350457e97572e059b40,KENCOR~1(1).DOC,law_report_draft,High Court,HH 745-22,,0,ffc624f34e953f743d6baf08da4d8fda7e4ec4a62cf50bef7e73c7bb7ceb28c0,724d630ee0eee0ec2462947e4875dd71bb6610acdd06a51e4cd9d6336f8f0c8d,True
278,zimlex-2022-5f924a42c3576475c93a,ISOQUA~1.DOC,law_report_draft,High Court,HH 746/22,,0,c17ed07d44525bc77bba016e9a626357e8d4b641c3d280bd485cef1546da78fa,2278ac3a0153fa6e5f5340604f05c773ffbb8bbdbbd74bb5ae8ddbb6c2431229,True
279,zimlex-2022-55143d01e0f86a6cabf1,BOLTSP~1.DOC,law_report_draft,High Court,HH 747-22,,0,ec6fdc61f233a96d0b6042dfeaaba73a637751667175af3267b0c4cdcdbcf386,cc53814506b5b8d49ab051f880fe60fe94521360a6b67d6fafc8ce0a4b4d859a,True
280,zimlex-2022-94dd3876ae489778b215,Nehanda Housing Co-operative Society Limited v Harare City Council (748 of 2022) [2022] ZWHHC 748 (19 October 2022) Copy(1).docx,law_report_draft,High Court,HH 748-22,,0,813d30b7b7c220c9b8512c0009008cde91302934bbe48846555bd805699d7eee,514649a7d662fd6f2d61eb65ab94d246a67de969cffcaa052fdd9784a3425c1a,True
281,zimlex-2022-e85917322c5e72b1eb19,Siduna and Another v Tanyanyiwa and Another (749 of 2022) [2022] ZWHHC 749 (25 October 2022) Copy(1).docx,law_report_draft,High Court,HH 749-22,,0,01674f14e7f448ad938afd5eec4428c9ded51621a4c0367a7eaa2c7ff6a551d0,aaabb709882efc47017d1b7c8f769acdb81761cbcc86575b5f0b18b9d3550a53,True
282,zimlex-2022-9e68b8a0071eff0d61f0,Christ Citadel International Church v Mujaya N.O and Another (750 of 2022) [2022] ZWHHC 750 (26 October 2022) Copy.docx,law_report_draft,High Court,HH 750-22,,0,f5aeabd60a0ec4990ee0b68ef2f47cef471ca2a0b0a02c03eb9a8b19d79da0dc,732bdbcc1258d90e7ffda0682418bf9285fc341730015f3766d814e16a2ca921,True
283,zimlex-2022-a8f648cca16c2eaeb428,WELLIW~1.DOC,law_report_draft,High Court,HH 753/22,,0,a08065009e705f7be3b892de18d7a9e6df4626573061f896fed087048a927602,7c03eb8e054799646d24e476a7122f51076fcbb881b5277ff784b61e21d8fb58,True
284,zimlex-2022-691b3773eb4b15140f0b,S v Gwafa (754 of 2022) [2022] ZWHHC 754 (26 October 2022) Copy.docx,law_report_draft,High Court,HH 754-22,,0,6e29c09a9ad12084a252ac75bd0c0916b29553619c1d29e87bfea5448a6b540e,5635b7170a5eb5228343c2b9e743b1602e6d33a8b5d0ffda48bdd3d4937fb1d5,True
285,zimlex-2022-92925d1644abab387a1c,Magaya v Mazvel Investments (Pvt) Ltd and Another (755 of 2022) [2022] ZWHHC 755 (26 October 2022) Copy.docx,law_report_draft,High Court,HH 755/22,,0,bdf1b21f172d2047ffd1502c409e214273bb407e9f39b117ba08f9f6841cae14,3e5b125722fd63dd47daa830bbb6accc02074d6b4029fe0a3faaaf3b8e180650,True
286,zimlex-2022-ea2866c8822aad8446aa,ZIMBAB~1(1).DOC,law_report_draft,High Court,HH 756-22,,0,9ba207f3931ad907a8f62a98b9114e7c0b10af8432c77e534dd1868784154839,e5113055ace83e46479bffe365a43bf1affecad55d10f4e324b9e138b1f25f4d,True
287,zimlex-2022-b7505e79909a9d753c9a,MANGEN~1.DOC,law_report_draft,High Court,HH 757-22,,0,10351073b2526fd9ae30d5c5476c6ba8489ed7e594360ecfe40715e5e0352697,cff5f0d632ad160df221c7a19559c067d8c6b31181afca21d6df6fcbc264a64b,True
288,zimlex-2022-107372d5405227d00922,TARUGA~1(1).DOC,law_report_draft,High Court,HH 759-22,,0,ca84498ae3c34e6093800aeb64e0b3935d654fc0c49cb130df9e6f467ae15d55,7ec9f559b43b5ff27d45770036c7a1df39daf3bd17aefb9b1ce46d3e859304d6,True
289,zimlex-2022-64e8701ecb35ffc426f2,Khaka v Rennie (760 of 760) [2022] ZWHHC 760 (27 October 2022) Copy(1).docx,law_report_draft,High Court,HH 760-22,,0,e9419d3e143ec6f202785ad84f0c463dc65caf3783dccdccbc666d058fd407d0,8813dc4179f03c9189b116f20dd8a04410865cb707b1ebbd755698356d38e906,True
290,zimlex-2022-5f1c0860c82adf086b44,JK Motors (Private) Limited v Zimbabwe Revenue Authority (762 of 2022) [2022] ZWHHC 762 (28 October 2022) Copy.docx,law_report_draft,High Court,HH 762-22,,0,22ea13b5e75e98d7b4c4c87a0ce105e5635d784364b9ee013235d4e0feb3ff9f,b0d80722e2e11e89533d6df31a6f39a796e308cbbd06784d8cad2c90dfd8397d,True
291,zimlex-2022-f09da2b83525a6d8a66e,Gombera and 4 Others v Mazowe Rural District Council and Another (776 of 2022) [2022] ZWHHC 776 (1 November 2022) Copy.docx,law_report_draft,High Court,HH 776-21,,0,0afde0ce2fa2741b7876779e2762625b50416b6306aeb7bfa27bee5c9a78e0cb,33f328e00b5ac96da1bc38518cac19b35ff94008bc0dd43a97c6e00b09834e57,True
292,zimlex-2022-37af8c2dca3a5e829d22,Toyin Trailers (Pty) Ltd v Gelcole Logistics and Another (777 of 2022) [2022] ZWHHC 777 (2 November 2022) Copy.docx,law_report_draft,High Court,HH 777-22,,0,831fff3bf633d55d2de6d944ab8d7d411becfbb8767ebc1c233176ea6a366f5c,e7f0d15da7cde22df1b55a43897b270af36f2cc3ebee42da04591180574f783d,True
293,zimlex-2022-c93650b0d599edb9c8a8,Magora and 33 Others v Runde Rural District and 6 OthersCouncil and (799 of 2022) [2022] ZWHHC 799 (2 November 2022) Copy.docx,law_report_draft,High Court,HH 779-22,,0,db926774fe0b407766b90fc6097f859fd88f93e6136bdbe7bcfa24280cb29390,985e5f5749c122f8f32009a6301fa41355577501a9bd4dc6811a0ff1d1ecdb6f,True
294,zimlex-2022-591200b901bc0dff4305,OTTODR~1(1).DOC,law_report_draft,High Court,HH 780-22,,0,b1a33b7efeeb84b723643831257d3700a2801da46d1ff542a29cf6f8478f45a9,bdba5f62413b04a7c28a91b3d6deb1ad58116a51f08607adf46fe64140813741,True
295,zimlex-2022-642189e07581dc4a115c,Mpepereki v Mpepereki and 2 Others (781 of 2022) [2022] ZWHHC 781 (3 November 2022) Copy.docx,law_report_draft,High Court,HH 781-22,,0,f510282c30a975d5ecb9de5b9f0c0f81b215c6f295f2b4d92dfdb708ac1fdaaa,6ffe7fec3198568ab7e78d44abe4999443ca863f0ffc281273d238876ac8c86c,True
296,zimlex-2022-4c2881201ccdb5aebe83,S v Chieza (789 of 2022) [2022] ZWHHC 789 (4 November 2022) Copy.docx,law_report_draft,High Court,HH 789/22,,0,5a4dcc4eeaf6cad34424191d29c90e99a9e0c7c6ac7865295b8dae323e89f4ff,d050db7db39940d7df5f39e868d86901cfbd30f5951e18fbde6912e809f2e36b,True
297,zimlex-2022-129c18b6392a156a953d,DIVVYM~1(1).DOC,law_report_draft,High Court,HH 790-22,,0,0f09dcb7b5c35dcf11db76d56ceee84667ba45249814c32962b86dcf24fd5c73,b50eff87955c1707bc541d6251dae45c40cd244aa93fd329d58987ca352ca20f,True
298,zimlex-2022-5378b357362f3ba23988,Mudungwe and Another v Photo and 2 Others (791 of 2022) [2022] ZWHHC 791 (7 November 2022) Copy.docx,law_report_draft,High Court,HH 791-22,,0,e0c7dfbe96800339e84b4cad1ff5260432fd6d72349a534316a7d13de5cad91f,9156cfdcd76deabbbfee76562881f7e59a9794d215398aa7d1f1668292ce02fc,True
299,zimlex-2022-3de23779624a9a8cfd38,Judicial Service Commission v Ndewere (792 of 2022) [2022] ZWHHC 792 (9 November 2022) Copy.docx,law_report_draft,High Court,HH 792-22,,0,a156df22d86b675d583a6c9f0d32fe618d113d48729137acf83e8c9580afeb6f,d56ce37eb46c3e86b44d0d1fc9510903f0fd6f3e08aa930a1ca430a4ad595cdf,True
